Datetime,predicted_Zone1,predicted_Zone2,predicted_Zone3
2/12/2017 14:40,30000,10000,20000
11/22/2017 15:30,30000,10000,20000
10/15/2017 1:50,30000,10000,20000
9/11/2017 23:00,30000,10000,20000
12/26/2017 1:20,30000,10000,20000
9/7/2017 16:30,30000,10000,20000
10/9/2017 18:20,30000,10000,20000
3/7/2017 7:10,30000,10000,20000
1/1/2017 0:40,30000,10000,20000
5/18/2017 22:00,30000,10000,20000
5/25/2017 4:40,30000,10000,20000
2/6/2017 9:50,30000,10000,20000
12/18/2017 23:00,30000,10000,20000
4/22/2017 22:20,30000,10000,20000
11/29/2017 19:20,30000,10000,20000
6/30/2017 18:00,30000,10000,20000
7/10/2017 16:40,30000,10000,20000
8/29/2017 4:20,30000,10000,20000
9/22/2017 6:30,30000,10000,20000
8/3/2017 19:10,30000,10000,20000
3/4/2017 13:20,30000,10000,20000
6/20/2017 20:30,30000,10000,20000
9/2/2017 2:40,30000,10000,20000
3/30/2017 3:50,30000,10000,20000
2/27/2017 9:50,30000,10000,20000
8/14/2017 12:20,30000,10000,20000
5/14/2017 7:40,30000,10000,20000
11/17/2017 13:20,30000,10000,20000
4/14/2017 18:40,30000,10000,20000
5/27/2017 0:00,30000,10000,20000
8/7/2017 8:40,30000,10000,20000
12/5/2017 18:10,30000,10000,20000
4/1/2017 21:00,30000,10000,20000
10/21/2017 0:20,30000,10000,20000
4/5/2017 18:20,30000,10000,20000
6/12/2017 16:50,30000,10000,20000
6/24/2017 13:10,30000,10000,20000
3/19/2017 11:00,30000,10000,20000
6/14/2017 21:10,30000,10000,20000
11/22/2017 5:20,30000,10000,20000
11/12/2017 17:50,30000,10000,20000
12/12/2017 21:50,30000,10000,20000
8/21/2017 0:40,30000,10000,20000
11/2/2017 17:30,30000,10000,20000
9/16/2017 17:10,30000,10000,20000
7/16/2017 8:00,30000,10000,20000
9/15/2017 21:20,30000,10000,20000
11/5/2017 1:00,30000,10000,20000
1/27/2017 15:10,30000,10000,20000
8/18/2017 11:40,30000,10000,20000
8/20/2017 14:50,30000,10000,20000
5/8/2017 15:00,30000,10000,20000
7/5/2017 10:30,30000,10000,20000
12/28/2017 3:10,30000,10000,20000
7/23/2017 7:30,30000,10000,20000
2/21/2017 3:20,30000,10000,20000
4/29/2017 0:10,30000,10000,20000
2/17/2017 8:50,30000,10000,20000
5/17/2017 21:20,30000,10000,20000
1/9/2017 8:50,30000,10000,20000
3/23/2017 9:40,30000,10000,20000
7/21/2017 23:50,30000,10000,20000
11/15/2017 23:10,30000,10000,20000
5/11/2017 12:20,30000,10000,20000
5/23/2017 4:00,30000,10000,20000
12/23/2017 18:40,30000,10000,20000
1/13/2017 19:20,30000,10000,20000
7/28/2017 16:00,30000,10000,20000
9/21/2017 8:20,30000,10000,20000
11/17/2017 20:30,30000,10000,20000
2/3/2017 23:40,30000,10000,20000
12/30/2017 23:30,30000,10000,20000
12/26/2017 22:30,30000,10000,20000
11/3/2017 16:50,30000,10000,20000
4/8/2017 13:50,30000,10000,20000
5/20/2017 18:20,30000,10000,20000
10/19/2017 20:30,30000,10000,20000
9/15/2017 21:10,30000,10000,20000
12/29/2017 21:50,30000,10000,20000
4/26/2017 14:40,30000,10000,20000
9/28/2017 16:50,30000,10000,20000
4/24/2017 3:10,30000,10000,20000
9/17/2017 12:20,30000,10000,20000
7/11/2017 6:20,30000,10000,20000
3/20/2017 2:30,30000,10000,20000
4/27/2017 23:10,30000,10000,20000
6/23/2017 21:20,30000,10000,20000
2/26/2017 9:40,30000,10000,20000
7/31/2017 19:00,30000,10000,20000
7/27/2017 15:00,30000,10000,20000
1/20/2017 4:20,30000,10000,20000
6/14/2017 14:00,30000,10000,20000
8/28/2017 18:50,30000,10000,20000
8/17/2017 16:10,30000,10000,20000
2/24/2017 3:50,30000,10000,20000
7/19/2017 7:10,30000,10000,20000
1/23/2017 2:40,30000,10000,20000
9/22/2017 2:10,30000,10000,20000
7/15/2017 19:20,30000,10000,20000
9/15/2017 2:00,30000,10000,20000
10/20/2017 5:20,30000,10000,20000
1/18/2017 6:50,30000,10000,20000
12/20/2017 20:30,30000,10000,20000
3/2/2017 14:30,30000,10000,20000
8/4/2017 12:00,30000,10000,20000
1/9/2017 11:00,30000,10000,20000
8/7/2017 18:30,30000,10000,20000
10/5/2017 3:10,30000,10000,20000
2/11/2017 0:40,30000,10000,20000
4/6/2017 2:40,30000,10000,20000
7/19/2017 4:40,30000,10000,20000
6/24/2017 16:30,30000,10000,20000
6/17/2017 9:50,30000,10000,20000
4/16/2017 9:10,30000,10000,20000
11/7/2017 3:50,30000,10000,20000
1/15/2017 13:30,30000,10000,20000
1/10/2017 10:40,30000,10000,20000
5/8/2017 5:50,30000,10000,20000
9/6/2017 19:10,30000,10000,20000
10/13/2017 11:20,30000,10000,20000
9/29/2017 8:00,30000,10000,20000
1/4/2017 7:00,30000,10000,20000
5/10/2017 7:20,30000,10000,20000
1/22/2017 13:00,30000,10000,20000
12/8/2017 13:00,30000,10000,20000
9/12/2017 21:20,30000,10000,20000
6/2/2017 23:00,30000,10000,20000
5/31/2017 18:20,30000,10000,20000
9/29/2017 19:50,30000,10000,20000
2/6/2017 17:00,30000,10000,20000
10/1/2017 9:40,30000,10000,20000
2/16/2017 7:50,30000,10000,20000
2/23/2017 5:40,30000,10000,20000
8/28/2017 3:30,30000,10000,20000
8/6/2017 20:10,30000,10000,20000
8/12/2017 14:40,30000,10000,20000
3/13/2017 2:20,30000,10000,20000
10/17/2017 19:20,30000,10000,20000
8/17/2017 14:20,30000,10000,20000
5/27/2017 16:50,30000,10000,20000
6/7/2017 2:20,30000,10000,20000
8/20/2017 10:50,30000,10000,20000
10/29/2017 14:40,30000,10000,20000
10/10/2017 14:50,30000,10000,20000
10/2/2017 23:00,30000,10000,20000
6/10/2017 6:10,30000,10000,20000
5/9/2017 23:10,30000,10000,20000
3/19/2017 21:10,30000,10000,20000
1/14/2017 14:40,30000,10000,20000
7/28/2017 7:40,30000,10000,20000
7/26/2017 18:50,30000,10000,20000
7/20/2017 10:40,30000,10000,20000
5/3/2017 12:40,30000,10000,20000
10/28/2017 16:20,30000,10000,20000
4/28/2017 7:00,30000,10000,20000
1/29/2017 8:10,30000,10000,20000
4/7/2017 19:40,30000,10000,20000
1/17/2017 10:50,30000,10000,20000
10/18/2017 16:50,30000,10000,20000
7/8/2017 7:50,30000,10000,20000
8/11/2017 21:40,30000,10000,20000
9/14/2017 0:10,30000,10000,20000
10/17/2017 11:00,30000,10000,20000
3/4/2017 11:30,30000,10000,20000
8/18/2017 14:00,30000,10000,20000
11/28/2017 4:00,30000,10000,20000
5/14/2017 6:30,30000,10000,20000
9/16/2017 2:50,30000,10000,20000
1/13/2017 10:00,30000,10000,20000
8/21/2017 21:50,30000,10000,20000
4/23/2017 3:30,30000,10000,20000
4/11/2017 20:40,30000,10000,20000
2/23/2017 20:40,30000,10000,20000
10/26/2017 6:10,30000,10000,20000
7/13/2017 23:20,30000,10000,20000
12/11/2017 11:00,30000,10000,20000
7/10/2017 22:50,30000,10000,20000
3/1/2017 22:30,30000,10000,20000
8/4/2017 3:10,30000,10000,20000
2/11/2017 21:20,30000,10000,20000
1/30/2017 0:50,30000,10000,20000
10/2/2017 5:20,30000,10000,20000
5/5/2017 8:30,30000,10000,20000
1/21/2017 10:00,30000,10000,20000
11/28/2017 15:30,30000,10000,20000
3/3/2017 18:10,30000,10000,20000
1/24/2017 23:30,30000,10000,20000
8/24/2017 16:40,30000,10000,20000
9/18/2017 10:00,30000,10000,20000
6/7/2017 23:00,30000,10000,20000
9/14/2017 15:00,30000,10000,20000
4/11/2017 3:20,30000,10000,20000
4/29/2017 7:40,30000,10000,20000
6/1/2017 13:40,30000,10000,20000
2/14/2017 6:40,30000,10000,20000
1/16/2017 0:50,30000,10000,20000
5/27/2017 17:50,30000,10000,20000
2/5/2017 18:40,30000,10000,20000
1/1/2017 8:10,30000,10000,20000
6/26/2017 12:40,30000,10000,20000
9/10/2017 20:50,30000,10000,20000
7/14/2017 15:50,30000,10000,20000
7/3/2017 20:50,30000,10000,20000
7/21/2017 7:50,30000,10000,20000
11/12/2017 0:20,30000,10000,20000
7/27/2017 21:40,30000,10000,20000
4/30/2017 11:50,30000,10000,20000
3/10/2017 14:00,30000,10000,20000
6/2/2017 15:50,30000,10000,20000
9/3/2017 15:40,30000,10000,20000
12/28/2017 17:40,30000,10000,20000
3/28/2017 14:00,30000,10000,20000
11/30/2017 15:10,30000,10000,20000
3/23/2017 11:20,30000,10000,20000
12/10/2017 12:00,30000,10000,20000
6/6/2017 5:10,30000,10000,20000
